frame,leader_x,leader_y,f1_x,f1_y,f2_x,f2_y,f3_x,f3_y,f4_x,f4_y
149,0.18062103,1.6744598e-06,0.18066618,-1.4999874,0.18059668,1.4999788,0.18071166,-3.0000038,0.18066084,2.9999845
150,0.18416749,1.5998739e-06,0.18420976,-1.4999869,0.1841423,1.4999782,0.18423276,-3.0000052,0.184183,2.999982
151,0.18775994,2.1710512e-06,0.18772857,-1.4999882,0.18772015,1.4999782,0.18777956,-3.000005,0.18772787,2.9999826
152,0.1913037,3.9614824e-06,0.19127633,-1.4999871,0.1912638,1.4999788,0.19136865,-3.000004,0.19131833,2.9999843
153,0.19482183,3.1645395e-06,0.19486284,-1.4999857,0.19478497,1.4999784,0.19490832,-3.0000048,0.1948597,2.9999807
154,0.1983715,3.556961e-06,0.19840145,-1.4999853,0.19832781,1.4999781,0.1984318,-3.0000072,0.19838345,2.9999762
155,0.20195745,5.429938e-06,0.20192298,-1.4999884,0.20191829,1.4999782,0.20197372,-3.0000076,0.20193054,2.9999766
156,0.20549524,5.247799e-06,0.20547046,-1.4999882,0.20545946,1.4999799,0.20556216,-3.0000067,0.20550728,2.9999757
157,0.20902,2.9215007e-06,0.20903064,-1.4999881,0.20897819,1.4999765,0.20910354,-3.0000079,0.20904921,2.9999774
158,0.21256305,1.490931e-06,0.2125763,-1.4999874,0.21252558,1.4999769,0.21262172,-3.0000098,0.21256872,2.9999769
159,0.21614082,2.2783424e-06,0.21609592,-1.4999881,0.21610288,1.4999788,0.21616867,-3.0000098,0.21611026,2.999976
160,0.21968417,2.0614025e-06,0.21964122,-1.4999868,0.21964765,1.4999762,0.2197435,-3.0000079,0.21969779,2.999977
161,0.2232074,9.970681e-07,0.2232308,-1.4999859,0.22316825,1.4999732,0.22328821,-3.0000105,0.22324036,2.9999752
162,0.22674944,1.9324361e-06,0.22677097,-1.499986,0.22670968,1.4999727,0.22680277,-3.0000134,0.22676201,2.9999726
163,0.23034897,4.1179665e-06,0.23029205,-1.499988,0.23030855,1.499975,0.23035198,-3.0000122,0.23030417,2.9999723
164,0.23389025,8.40977e-07,0.2338378,-1.4999877,0.23384768,1.4999725,0.23392865,-3.0000107,0.23389046,2.9999738
165,0.23740986,-3.4005352e-06,0.2374212,-1.499986,0.23736617,1.4999689,0.23747411,-3.0000088,0.23742852,2.9999738
166,0.24095437,-3.1847085e-06,0.24096484,-1.499988,0.24091393,1.4999677,0.24099027,-3.0000093,0.24094704,2.9999714
167,0.24453115,-9.694049e-07,0.24448185,-1.4999905,0.24446839,1.4999669,0.24453355,-3.000009,0.24450105,2.9999726
168,0.24807218,-3.6081474e-06,0.2480313,-1.4999896,0.24800836,1.4999682,0.24811868,-3.0000083,0.24806726,2.9999726
169,0.25159162,-7.5741045e-06,0.25162134,-1.49999,0.2515282,1.4999671,0.25165468,-3.0000072,0.25161085,2.9999745
170,0.25513718,-7.015864e-06,0.25515917,-1.4999884,0.2550751,1.499967,0.25517663,-3.0000088,0.25513232,2.999974
171,0.2587161,-6.08353e-06,0.25867796,-1.4999906,0.2586393,1.499968,0.25872535,-3.0000083,0.25867152,2.9999728
172,0.26225975,-4.4456174e-06,0.2622259,-1.4999899,0.26218173,1.4999685,0.26231095,-3.0000079,0.26226246,2.999973
173,0.2657738,-6.0992097e-06,0.2658164,-1.4999895,0.26570114,1.4999671,0.26585495,-3.000007,0.2658035,2.999971
174,0.26932064,-6.137452e-06,0.26935706,-1.4999895,0.26924738,1.499967,0.2693689,-3.0000083,0.26932463,2.9999669
175,0.27290925,-5.030517e-06,0.27288103,-1.4999909,0.27283654,1.4999683,0.2729167,-3.0000074,0.27286896,2.9999666
176,0.27644718,-5.370355e-06,0.27642485,-1.49999,0.2763764,1.499967,0.2765101,-3.0000055,0.2764471,2.9999683
177,0.27997085,-7.715033e-06,0.280013,-1.4999882,0.27990046,1.4999638,0.28005365,-3.000006,0.2799913,2.9999669
178,0.28351438,-7.747978e-06,0.28355616,-1.4999899,0.28344464,1.4999638,0.28357145,-3.0000088,0.28350988,2.9999635
179,0.28709006,-6.0290913e-06,0.2870748,-1.4999921,0.28703442,1.4999653,0.2871211,-3.0000064,0.28705755,2.999963
180,0.2906335,-7.867864e-06,0.29061884,-1.499991,0.29057658,1.4999645,0.29069725,-3.000005,0.2906454,2.9999647
181,0.29415542,-1.0003532e-05,0.2942083,-1.4999901,0.29409546,1.4999617,0.29424033,-3.000006,0.2941894,2.9999623
182,0.29770076,-1.1682299e-05,0.2977479,-1.499989,0.2976436,1.4999619,0.2977601,-3.0000079,0.29770824,2.9999585
183,0.30127797,-1.0881813e-05,0.30127102,-1.4999899,0.30122566,1.4999633,0.30130482,-3.0000076,0.3012557,2.9999588
184,0.30481595,-1.1068718e-05,0.3048133,-1.4999925,0.30476817,1.4999632,0.3048915,-3.0000052,0.30484062,2.9999607
185,0.3083384,-1.3735647e-05,0.30838352,-1.4999925,0.3082892,1.4999611,0.3084319,-3.000005,0.30838048,2.999957
186,0.31188494,-1.49638e-05,0.31192693,-1.4999937,0.31183353,1.4999616,0.31195417,-3.000008,0.3119023,2.999952
187,0.31545746,-1.325069e-05,0.31544942,-1.4999962,0.31541878,1.4999632,0.31549925,-3.0000074,0.31544948,2.999952
188,0.31900024,-1.4265541e-05,0.3189936,-1.500001,0.31896046,1.4999626,0.3190721,-3.0000062,0.31901482,2.999951
189,0.32252,-1.6329337e-05,0.32257473,-1.4999964,0.32248095,1.4999598,0.3226138,-3.000007,0.32255873,2.9999528
190,0.3260648,-1.6309205e-05,0.3261176,-1.5000021,0.32602748,1.4999601,0.3261362,-3.0000093,0.32607985,2.999952
191,0.32965186,-1.4507241e-05,0.32963604,-1.5000058,0.32960314,1.4999617,0.32968065,-3.000015,0.32962328,2.9999514
192,0.33319286,-1.5560734e-05,0.33318126,-1.5000106,0.33314735,1.499961,0.33325592,-3.00001,0.33320892,2.999951
193,0.33671483,-1.8607541e-05,0.33673045,-1.5000134,0.33666646,1.4999588,0.33679816,-3.0000162,0.33675247,2.9999483
194,0.34026042,-1.8707047e-05,0.34027666,-1.5000076,0.3402133,1.499959,0.34031525,-3.0000207,0.3402719,2.9999447
195,0.34384173,-1.7041006e-05,0.3437945,-1.5000055,0.3437994,1.4999609,0.34386522,-3.0000176,0.34381992,2.999945
196,0.34738323,-1.8624509e-05,0.34734225,-1.500005,0.34734112,1.4999602,0.34742278,-3.000019,0.347402,2.9999456
197,0.3509056,-2.1668253e-05,0.35090718,-1.5000039,0.35086238,1.4999573,0.35096782,-3.0000181,0.35094252,2.999945
198,0.3544503,-2.1755557e-05,0.35444948,-1.500004,0.35440728,1.4999574,0.35448828,-3.0000184,0.3544645,2.999942
199,0.35803318,-1.94979e-05,0.35797226,-1.5000048,0.3579938,1.4999601,0.3580305,-3.0000188,0.35800985,2.9999394
200,0.36157438,-2.1973377e-05,0.3615143,-1.5000058,0.36153656,1.4999576,0.36162508,-3.000017,0.3615841,2.99994
201,0.3650957,-2.5362315e-05,0.36510324,-1.5000031,0.3650573,1.4999546,0.36516467,-3.000019,0.36512768,2.9999375
202,0.36864197,-2.5022033e-05,0.36864248,-1.5000062,0.3686031,1.4999543,0.3686839,-3.0000231,0.36864752,2.9999342
203,0.37222415,-2.274305e-05,0.37216657,-1.5000099,0.37218332,1.4999568,0.37223193,-3.0000226,0.37219444,2.9999342
204,0.3757669,-2.5068868e-05,0.37571052,-1.5000154,0.37572744,1.4999561,0.37580094,-3.0000205,0.37577647,2.9999356
205,0.37928736,-2.8029346e-05,0.37927797,-1.5000122,0.37924713,1.4999537,0.37934443,-3.0000207,0.379321,2.9999337
206,0.3828356,-2.6322501e-05,0.38281912,-1.5000166,0.3827931,1.4999546,0.38286638,-3.0000222,0.38284075,2.9999306
207,0.3864157,-2.5416957e-05,0.38634256,-1.50002,0.38637388,1.4999558,0.38640922,-3.0000267,0.38638756,2.9999309
208,0.38995782,-2.609563e-05,0.38988692,-1.500024,0.38991675,1.4999548,0.38998744,-3.0000253,0.3899724,2.999933
209,0.39348006,-2.7082235e-05,0.39344147,-1.5000265,0.39343828,1.4999528,0.39352915,-3.0000267,0.3935144,2.9999304
210,0.39702415,-2.6275127e-05,0.39698836,-1.5000206,0.3969836,1.4999532,0.39705276,-3.0000296,0.3970358,2.9999266
211,0.4006115,-2.5690199e-05,0.40050507,-1.5000182,0.4005623,1.4999554,0.4005977,-3.000035,0.40058106,2.9999235
212,0.40414962,-2.4137953e-05,0.40405515,-1.5000169,0.40410456,1.4999537,0.40417123,-3.000034,0.4041606,2.9999232
213,0.40767044,-2.6338072e-05,0.40761715,-1.5000173,0.40762517,1.4999505,0.40771332,-3.0000355,0.40770376,2.9999206
214,0.41121978,-2.5428111e-05,0.41116244,-1.5000162,0.41117075,1.4999514,0.4112342,-3.0000346,0.4112246,2.9999175
215,0.41479304,-2.3352892e-05,0.4146824,-1.5000168,0.41474947,1.4999541,0.41477868,-3.0000331,0.41476944,2.999917
216,0.41833675,-2.5446941e-05,0.4182245,-1.5000174,0.41829258,1.4999516,0.4183624,-3.0000298,0.4183454,2.9999182
217,0.42185715,-2.7936148e-05,0.42182112,-1.5000148,0.42181382,1.4999484,0.42190453,-3.0000308,0.42189062,2.9999163
218,0.4254013,-2.7213435e-05,0.42536053,-1.5000175,0.4253605,1.4999475,0.42542344,-3.0000336,0.42540947,2.9999132
219,0.42898872,-2.6952817e-05,0.4288843,-1.5000215,0.42893267,1.4999471,0.42897153,-3.000033,0.42895627,2.9999135
220,0.43252936,-2.456562e-05,0.43242833,-1.5000271,0.43247512,1.4999495,0.4325479,-3.000031,0.4325435,2.9999146
