frame,leader_x,leader_y,f1_x,f1_y,f2_x,f2_y
191,0.2904019,-6.1082064e-05,0.29034773,-1.5000317,0.29031578,1.4998821
192,0.2939497,-6.7697074e-05,0.2938868,-1.5000315,0.29389235,1.4998841
193,0.29750988,-6.802977e-05,0.29741114,-1.500033,0.29743016,1.4998803
194,0.30105236,-6.578416e-05,0.30095544,-1.5000368,0.3009534,1.4998748
195,0.3045736,-6.505511e-05,0.30450472,-1.5000358,0.30449843,1.4998688
196,0.30812243,-6.5885746e-05,0.3080463,-1.5000348,0.3080647,1.4998702
197,0.31168947,-6.548975e-05,0.31156987,-1.5000353,0.31160575,1.4998653
198,0.31522873,-6.664151e-05,0.31511468,-1.5000391,0.3151275,1.4998605
199,0.31875116,-6.850486e-05,0.3186669,-1.5000381,0.318674,1.499855
200,0.322297,-6.828965e-05,0.32220876,-1.5000373,0.3222295,1.4998529
201,0.32587835,-6.7145156e-05,0.32573235,-1.5000381,0.32577452,1.4998567
202,0.32941696,-6.903362e-05,0.3292782,-1.5000428,0.32929498,1.4998587
203,0.33294126,-7.19739e-05,0.33282146,-1.5000426,0.33284244,1.499864
204,0.33648655,-7.80252e-05,0.3363647,-1.5000414,0.3363956,1.4998658
205,0.34005508,-7.5280856e-05,0.33988613,-1.5000426,0.33993942,1.4998671
206,0.34359533,-8.1345934e-05,0.34343302,-1.5000465,0.3434605,1.499867
207,0.34711656,-8.5716456e-05,0.3469869,-1.500047,0.3470102,1.4998666
208,0.35066348,-9.02259e-05,0.35053277,-1.5000445,0.35055616,1.4998676
209,0.35421875,-9.493702e-05,0.3540522,-1.5000447,0.35410002,1.4998704
210,0.35776144,-8.904638e-05,0.35759956,-1.5000452,0.3576222,1.4998686
211,0.36128202,-8.6549364e-05,0.36115733,-1.5000445,0.36117035,1.4998683
212,0.36482936,-8.136519e-05,0.36470044,-1.5000417,0.3647224,1.499869
213,0.36837375,-7.861431e-05,0.3682217,-1.5000427,0.3682645,1.4998715
214,0.37191868,-7.9634774e-05,0.37177074,-1.5000448,0.37178618,1.4998701
215,0.37543973,-8.2027946e-05,0.375306,-1.5000494,0.3753348,1.4998688
216,0.37898827,-8.8772314e-05,0.37884587,-1.5000429,0.37887523,1.4998693
217,0.38252723,-9.104416e-05,0.382366,-1.5000404,0.38241914,1.4998705
218,0.38607192,-8.5402244e-05,0.38591298,-1.5000387,0.38594177,1.4998685
219,0.38959175,-8.321203e-05,0.38949874,-1.5000371,0.38948688,1.4998646
220,0.3931395,-7.938651e-05,0.3930396,-1.5000381,0.39302993,1.4998643
221,0.3966867,-7.879739e-05,0.39656258,-1.5000404,0.3965734,1.4998643
222,0.4002333,-7.535897e-05,0.4001076,-1.5000466,0.40009528,1.4998637
223,0.40375367,-7.62656e-05,0.4036672,-1.500044,0.4036433,1.4998608
224,0.40730345,-7.542322e-05,0.4072077,-1.5000479,0.4071998,1.4998624
225,0.41086292,-7.4902346e-05,0.41073233,-1.5000505,0.41074187,1.4998636
226,0.41440737,-7.414124e-05,0.41427734,-1.5000552,0.41426578,1.4998623
227,0.4179289,-7.737292e-05,0.41780746,-1.5000559,0.41781253,1.4998612
228,0.4214778,-7.681489e-05,0.42135748,-1.5000573,0.42134345,1.4998591
229,0.42503685,-7.620924e-05,0.42486146,-1.5000603,0.4248792,1.4998604
230,0.42858166,-7.510004e-05,0.42841643,-1.5000616,0.42839953,1.4998603
231,0.43210226,-7.622159e-05,0.43195465,-1.5000612,0.43193838,1.4998614
232,0.43564913,-8.1205675e-05,0.43557125,-1.5000578,0.43549934,1.499863
233,0.4392042,-7.978102e-05,0.43911177,-1.5000612,0.43902776,1.4998629
234,0.44274446,-8.0791986e-05,0.44263494,-1.500066,0.44255754,1.4998628
235,0.4462682,-8.4519714e-05,0.4461816,-1.5000714,0.44610092,1.4998622
236,0.44981897,-8.6194865e-05,0.44974142,-1.5000736,0.44963557,1.4998617
237,0.45335066,-8.686888e-05,0.45328212,-1.5000699,0.45317242,1.4998606
238,0.4568903,-8.6587796e-05,0.4568051,-1.5000691,0.45669356,1.4998547
239,0.46041268,-8.933473e-05,0.46035185,-1.5000645,0.4602381,1.4998512
240,0.46395832,-9.323616e-05,0.46391284,-1.5000653,0.4638227,1.4998524
241,0.46751904,-9.270717e-05,0.46745598,-1.5000625,0.4673608,1.4998492
242,0.4710607,-9.369049e-05,0.47097576,-1.5000637,0.47088608,1.4998459
243,0.47458434,-9.696467e-05,0.4745251,-1.5000623,0.47443134,1.4998394
244,0.47813264,-0.000101526726,0.4781017,-1.5000606,0.47798848,1.4998385
245,0.48168534,-0.00010500861,0.48164004,-1.5000641,0.4815305,1.4998409
246,0.48523325,-9.864307e-05,0.48516586,-1.5000683,0.48505363,1.4998417
247,0.48874843,-9.556385e-05,0.48870876,-1.5000746,0.48860103,1.4998446
248,0.49229723,-9.158533e-05,0.492278,-1.500072,0.4921526,1.499846
249,0.49584118,-8.987986e-05,0.49581787,-1.500078,0.49569792,1.4998477
250,0.49938545,-8.8903784e-05,0.49934006,-1.5000823,0.4992198,1.4998473
251,0.502909,-9.324963e-05,0.5028852,-1.5000877,0.5027656,1.4998462
252,0.50645757,-9.803529e-05,0.50643194,-1.5000901,0.50630826,1.499847
253,0.51,-0.00010098935,0.50997585,-1.5000848,0.5098508,1.499849
254,0.5135447,-9.530269e-05,0.51349765,-1.5000817,0.5133727,1.499848
255,0.517067,-9.418774e-05,0.5170457,-1.5000768,0.5169189,1.4998463
256,0.5206154,-9.246201e-05,0.5205968,-1.5000767,0.5204705,1.4998466
257,0.5241754,-9.225329e-05,0.52414334,-1.5000712,0.52401525,1.4998478
258,0.5277179,-9.203924e-05,0.5276644,-1.500069,0.52753717,1.4998473
259,0.5312404,-9.427083e-05,0.53120995,-1.5000635,0.5310834,1.4998457
260,0.53478616,-9.7367614e-05,0.53476286,-1.5000635,0.5346364,1.4998472
261,0.5383412,-0.00010084157,0.53830904,-1.50006,0.53818077,1.4998494
262,0.5418898,-9.5991265e-05,0.54183036,-1.5000582,0.5417015,1.4998494
263,0.54540944,-9.4332994e-05,0.5453765,-1.5000551,0.5452495,1.4998504
264,0.5489582,-9.205053e-05,0.54892796,-1.5000539,0.5487895,1.4998507
265,0.5525129,-9.158543e-05,0.55247146,-1.5000513,0.5523328,1.4998518
266,0.5560572,-9.175062e-05,0.55599433,-1.5000513,0.5558556,1.4998498
267,0.5595777,-9.535181e-05,0.55954087,-1.5000514,0.5594008,1.4998449
268,0.5631276,-9.96832e-05,0.5630792,-1.5000505,0.56294155,1.4998425
269,0.5666597,-0.000105524494,0.5666197,-1.5000519,0.56648725,1.4998453
270,0.57019496,-0.00010280437,0.5701409,-1.5000564,0.57000864,1.4998468
271,0.57371676,-0.00010250529,0.5736908,-1.5000627,0.5735546,1.4998478
272,0.577258,-0.000102685764,0.5772428,-1.5000653,0.57711387,1.4998479
273,0.58084446,-0.00010090561,0.580789,-1.500059,0.580658,1.4998492
274,0.58437765,-0.000103009785,0.5843079,-1.500055,0.58417934,1.4998485
275,0.58790815,-0.00010566663,0.58785486,-1.5000494,0.5877255,1.4998475
276,0.5914497,-0.00011074801,0.59139264,-1.5000465,0.5913017,1.4998482
277,0.5950007,-0.000109683526,0.59493333,-1.5000522,0.5948417,1.4998451
278,0.59854084,-0.000111727044,0.5984544,-1.5000565,0.59836566,1.4998419
279,0.60206336,-0.00011406923,0.60199964,-1.5000616,0.60191137,1.4998362
280,0.60561424,-0.00011722727,0.60556746,-1.5000616,0.6054729,1.4998355
281,0.6091412,-0.00011815314,0.6091076,-1.5000623,0.6090138,1.4998385
282,0.6126885,-0.00011848735,0.61263293,-1.5000637,0.61253566,1.4998386
283,0.61618304,-0.00012266324,0.6161754,-1.5000676,0.6160848,1.4998385
284,0.61973906,-0.00012157063,0.6197454,-1.5000658,0.6196519,1.4998384
285,0.623281,-0.000121159144,0.62328494,-1.5000658,0.623193,1.4998379
286,0.6268897,-0.000120161356,0.6268096,-1.5000681,0.62671536,1.4998369
287,0.6304325,-0.000120237724,0.6303541,-1.5000727,0.63025945,1.4998323
288,0.6339551,-0.000121220175,0.6339144,-1.5000727,0.6338414,1.4998338
289,0.63749874,-0.00012529947,0.63745767,-1.5000733,0.6373787,1.4998312
290,0.641071,-0.00012548998,0.6409814,-1.5000749,0.6409041,1.4998274
291,0.6446111,-0.00012767519,0.6445262,-1.500079,0.64444846,1.4998198
292,0.6481361,-0.00013011192,0.64808565,-1.5000786,0.64800465,1.4998193
293,0.65168047,-0.00013693207,0.6516284,-1.5000786,0.6515485,1.4998205
294,0.65525204,-0.00013406872,0.6551508,-1.5000799,0.65507185,1.4998213
295,0.6587918,-0.00014064669,0.6586988,-1.5000794,0.6586194,1.499823
296,0.6623132,-0.00014441066,0.6622602,-1.5000781,0.6621617,1.4998237
297,0.6658599,-0.00015057588,0.66580296,-1.5000769,0.6657034,1.4998248
298,0.66940457,-0.00015222657,0.66932493,-1.500079,0.6692274,1.499824
299,0.67294794,-0.00014636082,0.6728725,-1.5000834,0.67277133,1.4998208
300,0.67647004,-0.0001440413,0.6764125,-1.5000856,0.67632437,1.4998215
301,0.680018,-0.00013993986,0.6799532,-1.5000801,0.6798659,1.4998221
302,0.6835737,-0.0001362515,0.68347466,-1.5000784,0.68339074,1.4998196
303,0.6871184,-0.0001409508,0.68702227,-1.5000759,0.686937,1.4998173
304,0.69064116,-0.00014580565,0.6905834,-1.5000764,0.6904813,1.4998175
305,0.69418854,-0.00015223361,0.6941256,-1.5000744,0.6940225,1.4998192
306,0.6977292,-0.00015471914,0.69764686,-1.5000756,0.69754744,1.4998167
307,0.70127386,-0.0001522477,0.70119303,-1.500076,0.70109385,1.4998156
308,0.7047958,-0.00015101105,0.7047668,-1.5000751,0.70464975,1.4998165
309,0.7083434,-0.00015080809,0.7083059,-1.5000777,0.7081941,1.4998157
310,0.7119112,-0.00015044618,0.7118297,-1.5000814,0.7117182,1.4998126
311,0.71545136,-0.00015060665,0.7153768,-1.5000879,0.71526533,1.4998107
312,0.71897393,-0.00015279104,0.7189396,-1.5000888,0.7188204,1.49981
313,0.72252005,-0.00015659063,0.7224787,-1.500088,0.7223646,1.4998114
314,0.72608614,-0.00015734146,0.7260041,-1.5000874,0.725887,1.4998094
315,0.72962826,-0.000159433,0.72954756,-1.500086,0.7294319,1.4998076
316,0.7331511,-0.00016249338,0.73311836,-1.5000837,0.73299223,1.4998077
317,0.7366967,-0.00016910557,0.73665684,-1.500084,0.7365376,1.4998094
318,0.74026984,-0.00016582003,0.74018013,-1.5000862,0.74005926,1.4998091
319,0.7438098,-0.00017243545,0.7437258,-1.5000918,0.74360585,1.4998087
320,0.7473312,-0.00017672578,0.7472876,-1.5000918,0.74716663,1.4998093
321,0.750878,-0.00018289892,0.7508276,-1.5000919,0.75071007,1.4998106
322,0.7544319,-0.00018477275,0.75435376,-1.5000924,0.75423044,1.4998082
323,0.75797594,-0.00018009072,0.757898,-1.5000935,0.75777745,1.4998038
324,0.7614979,-0.0001783288,0.76145077,-1.5000919,0.7613293,1.4998043
325,0.7650449,-0.00017344684,0.764993,-1.50009,0.7648726,1.4998066
326,0.7685813,-0.00017248266,0.7685158,-1.5000895,0.7683935,1.4998045
327,0.7721221,-0.00017333106,0.77206224,-1.5000886,0.7719421,1.4998032
328,0.77564466,-0.00017669259,0.7756034,-1.5000889,0.7754931,1.4998033
329,0.77918816,-0.00018358004,0.77914387,-1.5000888,0.7790368,1.4998049
330,0.7827697,-0.00018038915,0.78266734,-1.5000911,0.7825595,1.4998044
331,0.7863075,-0.00018768245,0.78621024,-1.5000964,0.7861046,1.4998039
332,0.7898286,-0.00019177637,0.78976977,-1.5000961,0.78965294,1.4998044
333,0.79337615,-0.00019820113,0.7933144,-1.5000952,0.7931956,1.4998059
334,0.79691935,-0.00020116766,0.79683524,-1.5000976,0.796718,1.4998051
335,0.80046636,-0.00019512893,0.80038524,-1.5001032,0.800265,1.4998038
336,0.8039844,-0.00019365938,0.8039248,-1.5001069,0.80381185,1.4998045
337,0.80753213,-0.0001933767,0.80746573,-1.5001011,0.8073562,1.4998062
338,0.81109136,-0.0001934712,0.8109875,-1.500098,0.81087625,1.4998037
339,0.81463474,-0.00019223585,0.81453294,-1.5000925,0.8144265,1.4998034
340,0.8181569,-0.00019376827,0.8180908,-1.500093,0.81796914,1.499803
341,0.8217028,-0.0001956517,0.821637,-1.5000894,0.8215098,1.4998045
342,0.82527333,-0.00019604634,0.82515746,-1.5000888,0.82503676,1.4998046
343,0.828814,-0.00019823186,0.8287025,-1.5000889,0.82857716,1.4998027
