frame,leader_x,leader_y,f1_x,f1_y
221,0.770335,1.953209e-05,0.7703623,-1.5000467
222,0.77371234,1.8018189e-05,0.77376205,-1.5000477
223,0.77723217,2.18407e-05,0.77726233,-1.5000461
224,0.7808084,2.0975225e-05,0.7808451,-1.5000476
225,0.78426886,2.184439e-05,0.78430647,-1.5000471
226,0.7876573,2.2255757e-05,0.78770787,-1.500048
227,0.7911715,2.4837107e-05,0.79120964,-1.5000467
228,0.7947543,2.3399982e-05,0.794791,-1.5000477
229,0.7982145,2.4085719e-05,0.7982552,-1.5000477
230,0.801615,2.3636865e-05,0.8016384,-1.5000482
231,0.8051143,2.5601701e-05,0.80515754,-1.5000458
232,0.8086993,2.5241025e-05,0.8087392,-1.5000485
233,0.812162,2.596982e-05,0.8121986,-1.500048
234,0.81556296,2.5462548e-05,0.8155996,-1.5000495
235,0.81906253,2.7072674e-05,0.81910026,-1.5000479
236,0.8226502,2.8627772e-05,0.8226873,-1.5000498
237,0.82611483,2.8165785e-05,0.8261473,-1.5000495
238,0.82951045,2.7824528e-05,0.8295303,-1.5000497
239,0.83301806,3.0272706e-05,0.833048,-1.5000468
240,0.8366044,2.9308205e-05,0.83662987,-1.5000495
241,0.8400663,3.0174262e-05,0.8400844,-1.500049
242,0.8434532,3.0270181e-05,0.8434846,-1.5000501
243,0.8469701,3.316685e-05,0.8469842,-1.5000484
244,0.8505541,3.1792282e-05,0.85056925,-1.5000501
245,0.85401195,3.2517688e-05,0.8540296,-1.5000501
246,0.8573976,3.2858203e-05,0.8574293,-1.500051
247,0.8609128,3.5588186e-05,0.86093265,-1.5000497
248,0.864497,3.504722e-05,0.8645168,-1.5000501
249,0.8679598,3.564987e-05,0.8679802,-1.50005
250,0.8713571,3.552484e-05,0.8713803,-1.5000508
251,0.87485725,3.7697988e-05,0.87488204,-1.5000494
252,0.8784436,3.6939935e-05,0.87846786,-1.500051
253,0.88190466,3.7878774e-05,0.88192916,-1.500051
254,0.8852955,3.8125363e-05,0.8853251,-1.5000522
255,0.8888106,4.0622435e-05,0.8888269,-1.5000502
256,0.89239484,3.9193183e-05,0.89241177,-1.5000505
257,0.89585924,3.9900624e-05,0.8958732,-1.5000503
258,0.8992448,4.046667e-05,0.8992671,-1.5000509
259,0.9027615,4.315535e-05,0.9027715,-1.5000483
260,0.90634406,4.2360065e-05,0.9063555,-1.5000491
261,0.90980655,4.3120912e-05,0.909816,-1.5000489
262,0.9132003,4.29395e-05,0.9132156,-1.5000494
263,0.9167065,4.53357e-05,0.9167148,-1.500048
264,0.92029107,4.557387e-05,0.9203015,-1.5000479
265,0.92375314,4.6599387e-05,0.9237664,-1.5000483
266,0.9271405,4.685291e-05,0.927148,-1.5000486
267,0.9306578,4.962187e-05,0.9306674,-1.5000459
268,0.9342388,4.847417e-05,0.9342505,-1.5000479
269,0.9377023,4.9650662e-05,0.93770677,-1.5000472
270,0.941086,4.9921648e-05,0.9411101,-1.500048
271,0.94460166,5.3006952e-05,0.944611,-1.5000457
272,0.94818276,5.1350667e-05,0.94819546,-1.5000467
273,0.9516438,5.2253323e-05,0.9516556,-1.5000466
274,0.9550433,5.2009425e-05,0.9550551,-1.5000476
275,0.95854706,5.4176468e-05,0.9585586,-1.500046
276,0.9621342,5.3472882e-05,0.962145,-1.5000467
277,0.9655952,5.4427517e-05,0.96560746,-1.5000464
278,0.9689928,5.417115e-05,0.9690031,-1.5000478
279,0.9724935,5.649351e-05,0.9725056,-1.5000457
280,0.9760807,5.5701064e-05,0.97608924,-1.500047
281,0.9795433,5.64007e-05,0.9795523,-1.5000466
282,0.9829421,5.5857075e-05,0.98293555,-1.5000465
283,0.9864426,5.758224e-05,0.98645824,-1.5000435
284,0.9900303,5.746021e-05,0.99003935,-1.5000446
285,0.99349576,5.7744845e-05,0.9935047,-1.5000448
286,0.99688566,5.8300982e-05,0.99688894,-1.500045
287,1.0004007,6.0877814e-05,1.000411,-1.5000423
288,1.0039806,5.9157443e-05,1.0039914,-1.5000437
289,1.0074409,6.0301623e-05,1.0074549,-1.5000428
290,1.0108262,6.0314807e-05,1.01084,-1.5000435
291,1.0143431,6.346184e-05,1.0143578,-1.5000407
292,1.0179238,6.232904e-05,1.0179398,-1.5000418
293,1.021388,6.331729e-05,1.0214024,-1.5000416
294,1.0247847,6.314297e-05,1.0247945,-1.5000427
295,1.0282857,6.5574975e-05,1.0283028,-1.5000403
296,1.0318724,6.528822e-05,1.0318878,-1.500042
297,1.0353338,6.613674e-05,1.0353484,-1.5000412
298,1.0387317,6.602781e-05,1.0387464,-1.5000423
299,1.0422343,6.894537e-05,1.0422456,-1.5000405
300,1.0458196,6.810834e-05,1.0458292,-1.5000418
301,1.0492789,6.913024e-05,1.0492936,-1.5000415
302,1.0526772,6.9023656e-05,1.0526894,-1.5000423
303,1.0561823,7.122553e-05,1.0561926,-1.5000403
304,1.0597672,7.167182e-05,1.0597792,-1.5000409
305,1.0632325,7.242557e-05,1.063243,-1.5000412
306,1.0666308,7.2686176e-05,1.0666251,-1.5000412
307,1.0701361,7.551085e-05,1.0701433,-1.5000383
308,1.0737234,7.47613e-05,1.0737239,-1.5000391
309,1.0771881,7.556766e-05,1.0771862,-1.5000384
310,1.0805777,7.577807e-05,1.0805836,-1.5000393
311,1.0840895,7.85197e-05,1.084087,-1.5000372
312,1.0876725,7.717813e-05,1.087674,-1.5000386
313,1.0911329,7.820783e-05,1.091139,-1.5000385
314,1.094535,7.8383004e-05,1.0945218,-1.500039
315,1.0980319,8.0017126e-05,1.0980407,-1.5000359
316,1.101619,7.9412406e-05,1.1016197,-1.5000371
317,1.105084,8.028671e-05,1.1050824,-1.5000361
318,1.1084704,8.024999e-05,1.1084787,-1.500037
319,1.1119838,8.325692e-05,1.111979,-1.5000347
320,1.1155627,8.293928e-05,1.1155611,-1.5000367
321,1.1190243,8.406185e-05,1.1190209,-1.5000362
322,1.1224178,8.380113e-05,1.1224244,-1.5000372
323,1.1259254,8.6648884e-05,1.1259328,-1.5000345
324,1.1295098,8.601514e-05,1.1295205,-1.5000346
325,1.1329741,8.702761e-05,1.1329875,-1.5000354
326,1.1363684,8.698127e-05,1.136373,-1.5000353
327,1.1398765,9.018167e-05,1.1398927,-1.5000323
328,1.1434596,8.992289e-05,1.1434736,-1.5000342
329,1.1469215,9.1117974e-05,1.1469302,-1.5000335
330,1.1503218,9.084565e-05,1.1503278,-1.5000347
331,1.1538233,9.324063e-05,1.153831,-1.5000327
332,1.1574103,9.343668e-05,1.157417,-1.5000324
333,1.1608738,9.444225e-05,1.1608816,-1.5000324
334,1.1642753,9.4732255e-05,1.1642654,-1.5000327
335,1.1677803,9.6630734e-05,1.1677856,-1.50003
336,1.17137,9.720769e-05,1.171368,-1.5000322
337,1.1748334,9.782838e-05,1.1748278,-1.5000314
338,1.1782309,9.808672e-05,1.1782265,-1.5000322
339,1.1817354,0.00010117619,1.181726,-1.5000306
340,1.1853218,9.9291356e-05,1.1853132,-1.5000309
341,1.1887817,0.00010064016,1.1887757,-1.5000305
342,1.1921846,0.00010004691,1.1921581,-1.5000303
343,1.1956854,0.00010298708,1.1956756,-1.5000273
344,1.1992699,0.000104190076,1.1992583,-1.5000294
345,1.2027336,0.00010367526,1.20272,-1.5000288
346,1.2061158,0.00010463897,1.2061057,-1.5000293
347,1.2096355,0.00010856213,1.209622,-1.5000268
348,1.2132185,0.00010816862,1.213203,-1.5000279
349,1.2166828,0.00010934955,1.2166634,-1.5000273
350,1.2200747,0.000109854685,1.2200656,-1.500028
351,1.2235887,0.00011238949,1.2235681,-1.5000259
352,1.2271711,0.00011201641,1.2271556,-1.5000271
353,1.2306365,0.000112969734,1.2306162,-1.5000266
354,1.234021,0.00011362415,1.2340158,-1.5000272
355,1.2375383,0.000116741685,1.2375215,-1.5000248
356,1.2411222,0.000116121024,1.2411062,-1.5000255
357,1.2445811,0.000117132164,1.2445691,-1.5000253
358,1.2479824,0.00011687976,1.2479656,-1.5000255
359,1.2514821,0.000119301105,1.2514685,-1.5000231
360,1.2550696,0.00011931954,1.2550536,-1.5000242
361,1.258533,0.000120192264,1.2585132,-1.5000235
